Rank,Title,Author,Price,URL
47,"Todesflut","Katharina Peters","","https://www.ebook.de/de/product/50391290/katharina_peters_todesflut.html"
48,"Sie Fur Immer Zu Erobern (Mann der Rocky Mountains, #1)","Alexis Winter","","https://www.ebook.de/de/product/51954464/alexis_winter_sie_fur_immer_zu_erobern_mann_der_rocky_mountains_1.html"
49,"Drei Schwestern","O. J. Mullen","","https://www.ebook.de/de/product/50779864/o_j_mullen_drei_schwestern_ein_fesselnder_psychothriller_der_unter_die_haut_geht.html"
50,"Schneeflockenfunkeln","Veronika Weiß","","https://www.ebook.de/de/product/50793319/veronika_weiss_schneeflockenfunkeln.html"
51,"Die Tiefe","Karen Sander","","https://www.ebook.de/de/product/50332248/karen_sander_die_tiefe_versunken.html"
52,"Tote Seelen singen nicht","Jussi Adler-Olsen, Stine Bolther, Line Holm","","https://www.ebook.de/de/product/49987213/jussi_adler_olsen_stine_bolther_line_holm_tote_seelen_singen_nicht.html"
53,"Deadline","Alex Lake","","https://www.ebook.de/de/product/50302119/alex_lake_deadline.html"
54,"Das Polarlichtcafé","Christine Kabus","","https://www.ebook.de/de/product/49407754/christine_kabus_das_polarlichtcafe.html"
55,"Bed and breakfast","Elias J. Connor","","https://www.ebook.de/de/product/52043659/elias_j_connor_bed_and_breakfast.html"
56,"Verlorene Provence","Pierre Lagrange","","https://www.ebook.de/de/product/49203463/pierre_lagrange_verlorene_provence.html"
57,"Treppe aus Papier","Henrik Szántó","","https://www.ebook.de/de/product/50302557/henrik_szanto_treppe_aus_papier.html"
58,"Die Wildnis","Sarah Pearse","","https://www.ebook.de/de/product/49317584/sarah_pearse_die_wildnis.html"
59,"Knochenkälte","Simon Beckett","","https://www.ebook.de/de/product/45539587/simon_beckett_knochenkaelte.html"
60,"Das Familienfest","B. P. Walter","","https://www.ebook.de/de/product/50162889/b_p_walter_das_familienfest_ein_packender_psychothriller_voll_unvorhersehbarer_twists.html"
61,"Wintermord","Katharina Peters","","https://www.ebook.de/de/product/47243558/katharina_peters_wintermord.html"
62,"Herzfluch","Andreas Gruber","","https://www.ebook.de/de/product/50302546/andreas_gruber_herzfluch.html"
63,"Winterknistern auf Schottisch","Karin Lindberg","","https://www.ebook.de/de/product/51995999/karin_lindberg_winterknistern_auf_schottisch.html"
64,"Das Geheimnis von Winterthorne","Zoë Marriott","","https://www.ebook.de/de/product/50302519/zoe_marriott_das_geheimnis_von_winterthorne.html"
65,"Ich weiß, was du getan hast","Sonya Bateman","","https://www.ebook.de/de/product/49340755/sonya_bateman_ich_weiss_was_du_getan_hast_ein_extrem_fesselnder_psychothriller_mit_einer_schockierenden_wendung.html"
66,"Was du vergessen musst","Monika Lüthi","","https://www.ebook.de/de/product/51700024/monika_luethi_was_du_vergessen_musst.html"
67,"Blindspiel","Max Seeck","","https://www.ebook.de/de/product/49310318/max_seeck_blindspiel.html"
68,"Kalt wie die Nacht","Bernhard Stäber","","https://www.ebook.de/de/product/48943890/bernhard_staeber_kalt_wie_die_nacht.html"
69,"Du musst meine Hand fester halten, Nr. 104","Susanne Abel","","https://www.ebook.de/de/product/50387184/susanne_abel_du_musst_meine_hand_fester_halten_nr_104.html"
70,"Lückenbüßer","Volker Klüpfel, Michael Kobr","","https://www.ebook.de/de/product/47914605/volker_kluepfel_michael_kobr_lueckenbuesser.html"
71,"Pancakes, Samt und Winterglanz","Stina Jensen","","https://www.ebook.de/de/product/49135109/stina_jensen_pancakes_samt_und_winterglanz.html"
72,"Madame le Commissaire und die gefährliche Begierde","Pierre Martin","","https://www.ebook.de/de/product/49300515/pierre_martin_madame_le_commissaire_und_die_gefaehrliche_begierde.html"
73,"Versprich mir, dass du tanzt","Dani Atkins","","https://www.ebook.de/de/product/49300472/dani_atkins_versprich_mir_dass_du_tanzt.html"
74,"Blutbuße","Viveca Sten","","https://www.ebook.de/de/product/47949922/viveca_sten_blutbusse.html"
75,"Monsieur le Comte und die Kunst der Entführung","Pierre Martin","","https://www.ebook.de/de/product/50357294/pierre_martin_monsieur_le_comte_und_die_kunst_der_entfuehrung.html"
76,"Die Frauen von Tyringham Park + Rückkehr nach Tyringham Park (EXKLUSIV bei uns!)","Rosemary Mcloughlin","","https://www.ebook.de/de/product/50282655/rosemary_mcloughlin_die_frauen_von_tyringham_park_rueckkehr_nach_tyringham_park_exklusiv_bei_uns.html"
77,"Die perfekten Nachbarn","Anita Waller","","https://www.ebook.de/de/product/50546464/anita_waller_die_perfekten_nachbarn_ein_fesselnder_psychothriller_voller_geheimnisse_und_twists.html"
78,"Undercover Milliardär","Jessica Gregory","","https://www.ebook.de/de/product/50293290/jessica_gregory_undercover_milliardaer.html"
79,"Die Schloss-Schwestern","Liv Helland","","https://www.ebook.de/de/product/50331889/liv_helland_die_schloss_schwestern_sturmwindherz.html"
80,"Kaltes Fieber","Arne Dahl","","https://www.ebook.de/de/product/50342620/arne_dahl_kaltes_fieber.html"
